sale_id,seller_id,city_id,sale_amount
1,4,2,388.98
2,2,3,388.98
3,5,4,388.98
4,2,2,388.98
5,1,2,388.98
6,4,3,388.98
7,2,1,388.98
8,1,1,388.98
9,4,1,388.98
10,4,5,388.98
11,5,3,388.98
12,4,2,388.98
13,1,3,388.98
14,4,3,388.98
15,2,5,388.98
16,4,1,388.98
17,3,4,388.98
18,1,4,388.98
19,2,4,388.98
20,4,3,388.98
21,4,5,388.98
22,3,3,388.98
23,5,4,388.98
24,3,4,388.98
25,2,5,388.98
26,1,1,388.98
27,1,1,388.98
28,4,1,388.98
29,4,3,388.98
30,2,2,388.98
31,3,2,388.98
32,5,4,388.98
33,2,2,388.98
34,5,4,388.98
35,2,3,388.98
36,1,5,388.98
37,2,2,388.98
38,5,5,388.98
39,4,3,388.98
40,4,4,388.98
41,4,3,388.98
42,4,5,388.98
43,2,2,388.98
44,2,3,388.98
45,5,1,388.98
46,1,5,388.98
47,2,5,388.98
48,2,5,388.98
49,2,1,388.98
50,1,5,388.98
51,4,2,388.98
52,4,5,388.98
53,3,3,388.98
54,2,5,388.98
55,2,3,388.98
56,1,5,388.98
57,1,2,388.98
58,1,5,388.98
59,3,1,388.98
60,4,5,388.98
61,2,1,388.98
62,2,5,388.98
63,3,3,388.98
64,4,3,388.98
65,5,4,388.98
66,3,1,388.98
67,5,4,388.98
68,1,4,388.98
69,3,3,388.98
70,4,3,388.98
71,5,1,388.98
72,2,2,388.98
73,3,2,388.98
74,1,1,388.98
75,3,4,388.98
76,4,4,388.98
77,1,4,388.98
78,5,1,388.98
79,5,4,388.98
80,5,4,388.98
81,1,3,388.98
82,5,5,388.98
83,1,1,388.98
84,1,5,388.98
85,5,2,388.98
86,2,5,388.98
87,5,3,388.98
88,5,1,388.98
89,2,4,388.98
90,5,5,388.98
91,4,2,388.98
92,2,1,388.98
93,2,5,388.98
94,2,1,388.98
95,1,2,388.98
96,5,5,388.98
97,1,1,388.98
98,5,5,388.98
99,5,1,388.98
100,3,3,388.98
101,1,1,388.98
102,4,5,388.98
103,5,2,388.98
104,4,2,388.98
105,3,1,388.98
106,5,5,388.98
107,1,2,388.98
108,4,1,388.98
109,5,1,388.98
110,2,4,388.98
111,3,5,388.98
112,2,3,388.98
113,4,2,388.98
114,4,5,388.98
115,4,5,388.98
116,2,2,388.98
117,1,5,388.98
118,3,2,388.98
119,4,2,388.98
120,1,3,388.98
121,4,2,388.98
122,5,1,388.98
123,2,5,388.98
124,3,1,388.98
125,1,4,388.98
126,3,5,388.98
127,1,2,388.98
128,5,1,388.98
129,2,4,388.98
130,3,4,388.98
131,5,4,388.98
132,4,5,388.98
133,1,3,388.98
134,4,4,388.98
135,3,4,388.98
136,4,2,388.98
137,2,5,388.98
138,5,1,388.98
139,2,1,388.98
140,4,3,388.98
141,4,1,388.98
142,5,1,388.98
143,2,5,388.98
144,1,5,388.98
145,4,3,388.98
146,1,2,388.98
